1	ну	ну	PART	_	_	_	_	_	@mva1988f-words#@mva1988f#3793.074#3793.407
2	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@mva1988f-words#@mva1988f#3793.407#3793.74
3	достаточно	достаточно	ADV	_	Degree=Pos	_	_	_	@mva1988f-words#@mva1988f#3793.74#3794.073
4	большие	большой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@mva1988f-words#@mva1988f#3794.073#3794.406
5	были	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3794.406#3794.739
6	то	то	PRON	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3794.739#3795.072
7	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3795.072#3795.405
8	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@mva1988f-words#@mva1988f#3795.405#3795.738
9	начали	начать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3795.738#3796.074
10	из	из	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3797.103#3798.045
11	Чехии	Чехия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3798.221#3799.045
12	проехали	проехать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3799.545#3800.309
13	Голландию	Голландия	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3800.309#3801.073
14	Германию	Германия	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3801.073#3801.837
15	Швецию	Швеция	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3801.837#3802.603
16	часть	часть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3803.545#3804.045
17	Испании	Испания	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3804.045#3804.545
18	один	один	NUM	_	Case=Acc|Gender=Masc	_	_	_	@mva1988f-words#@mva1988f#3804.868#3805.417
19	город	город	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3805.417#3805.966
20	Италии	Италия	PROPN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3805.966#3806.515
21	два	два	NUM	_	Case=Acc|Gender=Masc	_	_	_	@mva1988f-words#@mva1988f#3808.422#3808.951
22	ммм	ммм	INTJ	_	_	_	_	_	@mva1988f-words#@mva1988f#3809.215#3809.686
23	потом	потом	ADV	_	_	_	_	_	@mva1988f-words#@mva1988f#3809.744#3810.126
24	полетели	полететь	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@mva1988f-words#@mva1988f#3810.126#3810.508
25	в	в	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3810.508#3810.89
26	Новую	новый	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3810.89#3811.272
27	Зеландию	Зеландия	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3811.272#3811.654
28	потом	потом	ADV	_	_	_	_	_	@mva1988f-words#@mva1988f#3811.654#3812.036
29	в	в	ADP	_	_	_	_	_	@mva1988f-words#@mva1988f#3812.036#3812.418
30	Австралию	Австралия	PROPN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@mva1988f-words#@mva1988f#3812.418#3812.803
31	потом	потом	ADV	_	_	_	_	_	@mva1988f-words#@mva1988f#3812.92#3813.351
